Num of Layer Detected :  80 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
   12|TIDL_ConvolutionLayer         |tidl_0_93                                         |     0|     1|     1| 11   x   x   x   x   x   x   x | 12       |       1        1        1       24      128      128 |       1        1        1      144      128      128 |  56623104 |
   13|TIDL_ConvolutionLayer         |tidl_0_541                                        |     0|     1|     1| 11   x   x   x   x   x   x   x | 13       |       1        1        1       24      128      128 |       1        1        1       48      128      128 |  18874368 |
   14|TIDL_ConvolutionLayer         |tidl_0_102                                        |     0|     1|     1| 12   x   x   x   x   x   x   x | 14       |       1        1        1      144      128      128 |       1        1        1      144       64       64 |   5308416 |
   15|TIDL_ConvolutionLayer         |tidl_0_109                                        |     0|     1|     1| 14   x   x   x   x   x   x   x | 15       |       1        1        1      144       64       64 |       1        1        1       32       64       64 |  18874368 |
   16|TIDL_ConvolutionLayer         |tidl_0_119                                        |     0|     1|     1| 15   x   x   x   x   x   x   x | 16       |       1        1        1       32       64       64 |       1        1        1      192       64       64 |  25165824 |
   17|TIDL_ConvolutionLayer         |tidl_0_128                                        |     0|     1|     1| 16   x   x   x   x   x   x   x | 17       |       1        1        1      192       64       64 |       1        1        1      192       64       64 |   7077888 |
   18|TIDL_ConvolutionLayer         |tidl_0_135                                        |     0|     1|     1| 17   x   x   x   x   x   x   x | 18       |       1        1        1      192       64       64 |       1        1        1       32       64       64 |  25165824 |
   19|TIDL_EltWiseLayer             |tidl_0_137                                        |     0|     2|     1| 15  18   x   x   x   x   x   x | 19       |       1        1        1       32       64       64 |       1        1        1       32       64       64 |    131072 |
   20|TIDL_ConvolutionLayer         |tidl_0_146                                        |     0|     1|     1| 19   x   x   x   x   x   x   x | 20       |       1        1        1       32       64       64 |       1        1        1      192       64       64 |  25165824 |
   21|TIDL_ConvolutionLayer         |tidl_0_155                                        |     0|     1|     1| 20   x   x   x   x   x   x   x | 21       |       1        1        1      192       64       64 |       1        1        1      192       64       64 |   7077888 |
   22|TIDL_ConvolutionLayer         |tidl_0_162                                        |     0|     1|     1| 21   x   x   x   x   x   x   x | 22       |       1        1        1      192       64       64 |       1        1        1       32       64       64 |  25165824 |
   23|TIDL_EltWiseLayer             |tidl_0_164                                        |     0|     2|     1| 19  22   x   x   x   x   x   x | 23       |       1        1        1       32       64       64 |       1        1        1       32       64       64 |    131072 |
   24|TIDL_ConvolutionLayer         |tidl_0_173                                        |     0|     1|     1| 23   x   x   x   x   x   x   x | 24       |       1        1        1       32       64       64 |       1        1        1      192       64       64 |  25165824 |
   25|TIDL_ConvolutionLayer         |tidl_0_182                                        |     0|     1|     1| 24   x   x   x   x   x   x   x | 25       |       1        1        1      192       64       64 |       1        1        1      192       32       32 |   1769472 |
   26|TIDL_ConvolutionLayer         |tidl_0_189                                        |     0|     1|     1| 25   x   x   x   x   x   x   x | 26       |       1        1        1      192       32       32 |       1        1        1       64       32       32 |  12582912 |
   27|TIDL_ConvolutionLayer         |tidl_0_199                                        |     0|     1|     1| 26   x   x   x   x   x   x   x | 27       |       1        1        1       64       32       32 |       1        1        1      384       32       32 |  25165824 |
   28|TIDL_ConvolutionLayer         |tidl_0_208                                        |     0|     1|     1| 27   x   x   x   x   x   x   x | 28       |       1        1        1      384       32       32 |       1        1        1      384       32       32 |   3538944 |
   29|TIDL_ConvolutionLayer         |tidl_0_215                                        |     0|     1|     1| 28   x   x   x   x   x   x   x | 29       |       1        1        1      384       32       32 |       1        1        1       64       32       32 |  25165824 |
   30|TIDL_EltWiseLayer             |tidl_0_217                                        |     0|     2|     1| 26  29   x   x   x   x   x   x | 30       |       1        1        1       64       32       32 |       1        1        1       64       32       32 |     65536 |
   31|TIDL_ConvolutionLayer         |tidl_0_226                                        |     0|     1|     1| 30   x   x   x   x   x   x   x | 31       |       1        1        1       64       32       32 |       1        1        1      384       32       32 |  25165824 |
   32|TIDL_ConvolutionLayer         |tidl_0_235                                        |     0|     1|     1| 31   x   x   x   x   x   x   x | 32       |       1        1        1      384       32       32 |       1        1        1      384       32       32 |   3538944 |
   33|TIDL_ConvolutionLayer         |tidl_0_242                                        |     0|     1|     1| 32   x   x   x   x   x   x   x | 33       |       1        1        1      384       32       32 |       1        1        1       64       32       32 |  25165824 |
   34|TIDL_EltWiseLayer             |tidl_0_244                                        |     0|     2|     1| 30  33   x   x   x   x   x   x | 34       |       1        1        1       64       32       32 |       1        1        1       64       32       32 |     65536 |
   35|TIDL_ConvolutionLayer         |tidl_0_253                                        |     0|     1|     1| 34   x   x   x   x   x   x   x | 35       |       1        1        1       64       32       32 |       1        1        1      384       32       32 |  25165824 |
   36|TIDL_ConvolutionLayer         |tidl_0_262                                        |     0|     1|     1| 35   x   x   x   x   x   x   x | 36       |       1        1        1      384       32       32 |       1        1        1      384       32       32 |   3538944 |
   37|TIDL_ConvolutionLayer         |tidl_0_269                                        |     0|     1|     1| 36   x   x   x   x   x   x   x | 37       |       1        1        1      384       32       32 |       1        1        1       64       32       32 |  25165824 |
   38|TIDL_EltWiseLayer             |tidl_0_271                                        |     0|     2|     1| 34  37   x   x   x   x   x   x | 38       |       1        1        1       64       32       32 |       1        1        1       64       32       32 |     65536 |
   39|TIDL_ConvolutionLayer         |tidl_0_280                                        |     0|     1|     1| 38   x   x   x   x   x   x   x | 39       |       1        1        1       64       32       32 |       1        1        1      384       32       32 |  25165824 |
   40|TIDL_ConvolutionLayer         |tidl_0_289                                        |     0|     1|     1| 39   x   x   x   x   x   x   x | 40       |       1        1        1      384       32       32 |       1        1        1      384       32       32 |   3538944 |
   41|TIDL_ConvolutionLayer         |tidl_0_296                                        |     0|     1|     1| 40   x   x   x   x   x   x   x | 41       |       1        1        1      384       32       32 |       1        1        1       96       32       32 |  37748736 |
   42|TIDL_ConvolutionLayer         |tidl_0_306                                        |     0|     1|     1| 41   x   x   x   x   x   x   x | 42       |       1        1        1       96       32       32 |       1        1        1      576       32       32 |  56623104 |
   43|TIDL_ConvolutionLayer         |tidl_0_315                                        |     0|     1|     1| 42   x   x   x   x   x   x   x | 43       |       1        1        1      576       32       32 |       1        1        1      576       32       32 |   5308416 |
   44|TIDL_ConvolutionLayer         |tidl_0_322                                        |     0|     1|     1| 43   x   x   x   x   x   x   x | 44       |       1        1        1      576       32       32 |       1        1        1       96       32       32 |  56623104 |
   45|TIDL_EltWiseLayer             |tidl_0_324                                        |     0|     2|     1| 41  44   x   x   x   x   x   x | 45       |       1        1        1       96       32       32 |       1        1        1       96       32       32 |     98304 |
   46|TIDL_ConvolutionLayer         |tidl_0_333                                        |     0|     1|     1| 45   x   x   x   x   x   x   x | 46       |       1        1        1       96       32       32 |       1        1        1      576       32       32 |  56623104 |
   47|TIDL_ConvolutionLayer         |tidl_0_342                                        |     0|     1|     1| 46   x   x   x   x   x   x   x | 47       |       1        1        1      576       32       32 |       1        1        1      576       32       32 |   5308416 |
   48|TIDL_ConvolutionLayer         |tidl_0_349                                        |     0|     1|     1| 47   x   x   x   x   x   x   x | 48       |       1        1        1      576       32       32 |       1        1        1       96       32       32 |  56623104 |
   49|TIDL_EltWiseLayer             |tidl_0_351                                        |     0|     2|     1| 45  48   x   x   x   x   x   x | 49       |       1        1        1       96       32       32 |       1        1        1       96       32       32 |     98304 |
   50|TIDL_ConvolutionLayer         |tidl_0_360                                        |     0|     1|     1| 49   x   x   x   x   x   x   x | 50       |       1        1        1       96       32       32 |       1        1        1      576       32       32 |  56623104 |
   51|TIDL_ConvolutionLayer         |tidl_0_369                                        |     0|     1|     1| 50   x   x   x   x   x   x   x | 51       |       1        1        1      576       32       32 |       1        1        1      576       32       32 |   5308416 |
   52|TIDL_ConvolutionLayer         |tidl_0_376                                        |     0|     1|     1| 51   x   x   x   x   x   x   x | 52       |       1        1        1      576       32       32 |       1        1        1      160       32       32 |  94371840 |
   53|TIDL_ConvolutionLayer         |tidl_0_386                                        |     0|     1|     1| 52   x   x   x   x   x   x   x | 53       |       1        1        1      160       32       32 |       1        1        1      960       32       32 | 157286400 |
   54|TIDL_ConvolutionLayer         |tidl_0_395                                        |     0|     1|     1| 53   x   x   x   x   x   x   x | 54       |       1        1        1      960       32       32 |       1        1        1      960       32       32 |   8847360 |
   55|TIDL_ConvolutionLayer         |tidl_0_402                                        |     0|     1|     1| 54   x   x   x   x   x   x   x | 55       |       1        1        1      960       32       32 |       1        1        1      160       32       32 | 157286400 |
   56|TIDL_EltWiseLayer             |tidl_0_404                                        |     0|     2|     1| 52  55   x   x   x   x   x   x | 56       |       1        1        1      160       32       32 |       1        1        1      160       32       32 |    163840 |
   57|TIDL_ConvolutionLayer         |tidl_0_413                                        |     0|     1|     1| 56   x   x   x   x   x   x   x | 57       |       1        1        1      160       32       32 |       1        1        1      960       32       32 | 157286400 |
   58|TIDL_ConvolutionLayer         |tidl_0_422                                        |     0|     1|     1| 57   x   x   x   x   x   x   x | 58       |       1        1        1      960       32       32 |       1        1        1      960       32       32 |   8847360 |
   59|TIDL_ConvolutionLayer         |tidl_0_429                                        |     0|     1|     1| 58   x   x   x   x   x   x   x | 59       |       1        1        1      960       32       32 |       1        1        1      160       32       32 | 157286400 |
   60|TIDL_EltWiseLayer             |tidl_0_431                                        |     0|     2|     1| 56  59   x   x   x   x   x   x | 60       |       1        1        1      160       32       32 |       1        1        1      160       32       32 |    163840 |
   61|TIDL_ConvolutionLayer         |tidl_0_440                                        |     0|     1|     1| 60   x   x   x   x   x   x   x | 61       |       1        1        1      160       32       32 |       1        1        1      960       32       32 | 157286400 |
   62|TIDL_ConvolutionLayer         |tidl_0_449                                        |     0|     1|     1| 61   x   x   x   x   x   x   x | 62       |       1        1        1      960       32       32 |       1        1        1      960       32       32 |   8847360 |
   63|TIDL_ConvolutionLayer         |tidl_0_456                                        |     0|     1|     1| 62   x   x   x   x   x   x   x | 63       |       1        1        1      960       32       32 |       1        1        1      320       32       32 | 314572800 |
   64|TIDL_ConvolutionLayer         |tidl_0_466                                        |     0|     1|     1| 63   x   x   x   x   x   x   x | 64       |       1        1        1      320       32       32 |       1        1        1      256       32       32 |  83886080 |
   65|TIDL_ConvolutionLayer         |tidl_0_475                                        |     0|     1|     1| 63   x   x   x   x   x   x   x | 65       |       1        1        1      320       32       32 |       1        1        1      320       32       32 |   2949120 |
   66|TIDL_ConvolutionLayer         |tidl_0_493                                        |     0|     1|     1| 63   x   x   x   x   x   x   x | 66       |       1        1        1      320       32       32 |       1        1        1      320       32       32 |   2949120 |
   67|TIDL_ConvolutionLayer         |tidl_0_511                                        |     0|     1|     1| 63   x   x   x   x   x   x   x | 67       |       1        1        1      320       32       32 |       1        1        1      320       32       32 |   2949120 |
   68|TIDL_ConvolutionLayer         |tidl_0_484                                        |     0|     1|     1| 65   x   x   x   x   x   x   x | 68       |       1        1        1      320       32       32 |       1        1        1      256       32       32 |  83886080 |
   69|TIDL_ConvolutionLayer         |tidl_0_502                                        |     0|     1|     1| 66   x   x   x   x   x   x   x | 69       |       1        1        1      320       32       32 |       1        1        1      256       32       32 |  83886080 |
   70|TIDL_ConvolutionLayer         |tidl_0_520                                        |     0|     1|     1| 67   x   x   x   x   x   x   x | 70       |       1        1        1      320       32       32 |       1        1        1      256       32       32 |  83886080 |
   71|TIDL_ConcatLayer              |tidl_0_522                                        |     0|     4|     1| 64  68  69  70   x   x   x   x | 71       |       1        1        1      256       32       32 |       1        1        1     1024       32       32 |   1048576 |
   72|TIDL_ConvolutionLayer         |tidl_0_531                                        |     0|     1|     1| 71   x   x   x   x   x   x   x | 72       |       1        1        1     1024       32       32 |       1        1        1      256       32       32 | 268435456 |
   73|TIDL_ResizeLayer              |tidl_0_532                                        |     0|     1|     1| 72   x   x   x   x   x   x   x | 73       |       1        1        1      256       32       32 |       1        1        1      256      128      128 |  16777216 |
   74|TIDL_ConcatLayer              |tidl_0_543                                        |     0|     2|     1| 73  13   x   x   x   x   x   x | 74       |       1        1        1      256      128      128 |       1        1        1      304      128      128 |   4980736 |
   75|TIDL_ConvolutionLayer         |tidl_0_550                                        |     0|     1|     1| 74   x   x   x   x   x   x   x | 75       |       1        1        1      304      128      128 |       1        1        1      304      128      128 |  44826624 |
   76|TIDL_ConvolutionLayer         |tidl_0_553                                        |     0|     1|     1| 75   x   x   x   x   x   x   x | 76       |       1        1        1      304      128      128 |       1        1        1       21      128      128 | 104595456 |
   77|TIDL_ResizeLayer              |tidl_0_554                                        |     0|     1|     1| 76   x   x   x   x   x   x   x | 77       |       1        1        1       21      128      128 |       1        1        1       21      512      512 |  22020096 |
   78|TIDL_ArgMaxLayer              |tidl_0_o0                                         |     0|     1|     1| 77   x   x   x   x   x   x   x | 78       |       1        1        1       21      512      512 |       1        1        1        1      512      512 |    262144 |
   79|TIDL_DataLayer                |tidl_0_o0                                         |     0|     1|    -1| 78   x   x   x   x   x   x   x |  0       |       1        1        1        1      512      512 |       0        0        0        0        0        0 |         0 |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Total Giga Macs : 3.2094
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
